Importance,Level,Job Zone,Code,Occupation,Skill
72,61,5,19-3091.00,Anthropologists and Archeologists,Active_Learning
72,61,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Active_Learning
72,61,5,25-1053.00,"Environmental Science Teachers, Postsecondary",Active_Learning
72,61,5,29-1224.00,Radiologists,Active_Learning
72,61,5,29-1127.00,Speech-Language Pathologists,Active_Learning
72,61,5,19-3022.00,Survey Researchers,Active_Learning
72,59,4,15-2051.01,Business Intelligence Analysts,Active_Learning
72,59,5,25-1021.00,"Computer Science Teachers, Postsecondary",Active_Learning
72,59,4,17-2111.02,Fire-Prevention and Protection Engineers,Active_Learning
72,59,5,25-1064.00,"Geography Teachers, Postsecondary",Active_Learning
72,59,5,19-3032.00,Industrial-Organizational Psychologists,Active_Learning
72,59,5,25-9031.00,Instructional Coordinators,Active_Learning
72,59,4,11-2021.00,Marketing Managers,Active_Learning
72,59,5,15-2031.00,Operations Research Analysts,Active_Learning
72,59,5,29-1071.00,Physician Assistants,Active_Learning
72,57,5,29-1141.02,Advanced Practice Psychiatric Nurses,Active_Learning
72,57,5,19-1011.00,Animal Scientists,Active_Learning
72,57,5,23-1022.00,"Arbitrators, Mediators, and Conciliators",Active_Learning
72,57,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Active_Learning
72,57,4,25-2032.00,"Career/Technical Education Teachers, Secondary School",Active_Learning
72,57,4,27-2022.00,Coaches and Scouts,Active_Learning
72,57,4,11-9021.00,Construction Managers,Active_Learning
72,57,4,29-1141.03,Critical Care Nurses,Active_Learning
72,57,5,11-9033.00,"Education Administrators, Postsecondary",Active_Learning
72,57,5,25-1123.00,"English Language and Literature Teachers, Postsecondary",Active_Learning
72,57,5,19-3011.01,Environmental Economists,Active_Learning
72,57,2,33-1012.00,First-Line Supervisors of Police and Detectives,Active_Learning
72,57,5,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Active_Learning
72,57,5,29-1216.00,General Internal Medicine Physicians,Active_Learning
72,57,5,25-1125.00,"History Teachers, Postsecondary",Active_Learning
72,57,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",Active_Learning
72,57,4,17-2161.00,Nuclear Engineers,Active_Learning
72,57,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",Active_Learning
72,55,5,11-9041.00,Architectural and Engineering Managers,Active_Learning
72,55,5,19-3033.00,Clinical and Counseling Psychologists,Active_Learning
72,55,4,21-2021.00,"Directors, Religious Activities and Education",Active_Learning
72,55,4,17-2071.00,Electrical Engineers,Active_Learning
72,55,5,29-9092.00,Genetic Counselors,Active_Learning
72,55,4,27-2012.03,Media Programming Directors,Active_Learning
72,55,4,11-9111.00,Medical and Health Services Managers,Active_Learning
72,55,5,29-1122.00,Occupational Therapists,Active_Learning
72,55,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Active_Learning
72,55,4,11-9151.00,Social and Community Service Managers,Active_Learning
72,55,4,13-1151.00,Training and Development Specialists,Active_Learning
72,55,5,29-1229.03,Urologists,Active_Learning
72,52,4,21-1091.00,Health Education Specialists,Active_Learning
69,68,5,15-1211.01,Health Informatics Specialists,Active_Learning
69,66,4,17-2031.00,Bioengineers and Biomedical Engineers,Active_Learning
69,66,5,29-1217.00,Neurologists,Active_Learning
69,64,5,11-1011.00,Chief Executives,Active_Learning
69,64,5,25-9021.00,Farm and Home Management Educators,Active_Learning
69,64,4,17-2199.08,Robotics Engineers,Active_Learning
69,63,5,19-3039.03,Clinical Neuropsychologists,Active_Learning
69,63,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Active_Learning
69,61,4,11-9161.00,Emergency Management Directors,Active_Learning
69,61,5,17-2112.01,Human Factors Engineers and Ergonomists,Active_Learning
69,61,5,21-1013.00,Marriage and Family Therapists,Active_Learning
69,61,5,29-2091.00,Orthotists and Prosthetists,Active_Learning
69,61,4,11-3131.00,Training and Development Managers,Active_Learning
69,59,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",Active_Learning
69,59,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",Active_Learning
69,59,4,17-2061.00,Computer Hardware Engineers,Active_Learning
69,59,5,25-1063.00,"Economics Teachers, Postsecondary",Active_Learning
69,59,5,19-3011.00,Economists,Active_Learning
69,59,4,13-1041.01,Environmental Compliance Inspectors,Active_Learning
69,59,4,17-2081.00,Environmental Engineers,Active_Learning
69,59,5,23-1012.00,Judicial Law Clerks,Active_Learning
69,59,5,23-1011.00,Lawyers,Active_Learning
69,59,5,25-1022.00,"Mathematical Science Teachers, Postsecondary",Active_Learning
69,59,4,41-9031.00,Sales Engineers,Active_Learning
69,59,4,19-3099.01,Transportation Planners,Active_Learning
69,57,5,29-9091.00,Athletic Trainers,Active_Learning
69,57,4,11-3111.00,Compensation and Benefits Managers,Active_Learning
69,57,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",Active_Learning
69,57,4,19-2041.00,"Environmental Scientists and Specialists, Including Health",Active_Learning
69,57,4,13-1041.03,Equal Opportunity Representatives and Officers,Active_Learning
69,57,5,21-1022.00,Healthcare Social Workers,Active_Learning
69,57,4,19-2032.00,Materials Scientists,Active_Learning
69,57,5,21-1014.00,Mental Health Counselors,Active_Learning
69,57,5,29-1023.00,Orthodontists,Active_Learning
69,57,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,Active_Learning
69,55,5,29-1129.01,Art Therapists,Active_Learning
69,55,5,11-1011.03,Chief Sustainability Officers,Active_Learning
69,55,5,21-2011.00,Clergy,Active_Learning
69,55,5,19-2041.01,Climate Change Policy Analysts,Active_Learning
69,55,4,11-9199.02,Compliance Managers,Active_Learning
69,55,5,29-1213.00,Dermatologists,Active_Learning
69,55,4,25-2021.00,"Elementary School Teachers, Except Special Education",Active_Learning
69,55,4,17-2199.03,"Energy Engineers, Except Wind and Solar",Active_Learning
69,55,4,17-3025.00,Environmental Engineering Technologists and Technicians,Active_Learning
69,55,5,13-2099.01,Financial Quantitative Analysts,Active_Learning
69,55,5,11-3031.03,Investment Fund Managers,Active_Learning
69,55,4,11-9081.00,Lodging Managers,Active_Learning
69,55,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Active_Learning
69,55,5,29-1299.01,Naturopathic Physicians,Active_Learning
69,55,4,17-2171.00,Petroleum Engineers,Active_Learning
69,55,4,11-2022.00,Sales Managers,Active_Learning
69,55,4,13-1161.01,Search Marketing Strategists,Active_Learning
69,55,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",Active_Learning
69,55,5,15-2041.00,Statisticians,Active_Learning
69,54,3,53-2021.00,Air Traffic Controllers,Active_Learning
69,54,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Active_Learning
69,54,4,13-2099.04,"Fraud Examiners, Investigators and Analysts",Active_Learning
69,54,4,11-9199.08,Loss Prevention Managers,Active_Learning
69,54,4,27-3043.05,"Poets, Lyricists and Creative Writers",Active_Learning
69,54,4,11-3071.04,Supply Chain Managers,Active_Learning
69,48,3,33-3051.00,Police and Sheriff's Patrol Officers,Active_Learning
69,46,3,27-1022.00,Fashion Designers,Active_Learning
66,71,4,17-2199.07,Photonics Engineers,Active_Learning
66,64,4,17-2112.03,Manufacturing Engineers,Active_Learning
66,63,5,19-2043.00,Hydrologists,Active_Learning
66,63,5,25-1067.00,"Sociology Teachers, Postsecondary",Active_Learning
66,61,5,19-1029.01,Bioinformatics Scientists,Active_Learning
66,61,4,19-2031.00,Chemists,Active_Learning
66,61,5,29-1229.04,Physical Medicine and Rehabilitation Physicians,Active_Learning
66,61,4,11-3031.01,Treasurers and Controllers,Active_Learning
66,59,5,29-1211.00,Anesthesiologists,Active_Learning
66,59,5,17-1011.00,"Architects, Except Landscape and Naval",Active_Learning
66,59,3,15-1299.08,Computer Systems Engineers/Architects,Active_Learning
66,59,5,29-1031.00,Dietitians and Nutritionists,Active_Learning
66,59,5,25-1032.00,"Engineering Teachers, Postsecondary",Active_Learning
66,59,5,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Active_Learning
66,59,4,13-2061.00,Financial Examiners,Active_Learning
66,59,4,19-3092.00,Geographers,Active_Learning
66,59,5,29-1051.00,Pharmacists,Active_Learning
66,59,4,11-3051.01,Quality Control Systems Managers,Active_Learning
66,57,4,15-2051.02,Clinical Data Managers,Active_Learning
66,57,3,53-2012.00,Commercial Pilots,Active_Learning
66,57,3,15-1211.00,Computer Systems Analysts,Active_Learning
66,57,4,17-2141.01,Fuel Cell Engineers,Active_Learning
66,57,5,19-2041.03,Industrial Ecologists,Active_Learning
66,57,4,11-3051.00,Industrial Production Managers,Active_Learning
66,57,4,33-3021.06,Intelligence Analysts,Active_Learning
66,55,4,17-2011.00,Aerospace Engineers,Active_Learning
66,55,5,19-3034.00,School Psychologists,Active_Learning
66,54,4,11-1021.00,General and Operations Managers,Active_Learning
66,54,4,41-9021.00,Real Estate Brokers,Active_Learning
66,54,5,25-2051.00,"Special Education Teachers, Preschool",Active_Learning
66,54,4,43-9111.00,Statistical Assistants,Active_Learning
66,54,4,19-1023.00,Zoologists and Wildlife Biologists,Active_Learning
66,52,4,21-1094.00,Community Health Workers,Active_Learning
66,52,4,13-2041.00,Credit Analysts,Active_Learning
66,52,3,11-3051.06,Hydroelectric Production Managers,Active_Learning
66,52,3,29-1126.00,Respiratory Therapists,Active_Learning
66,52,4,11-3013.01,Security Managers,Active_Learning
66,52,4,11-3071.00,"Transportation, Storage, and Distribution Managers",Active_Learning
66,50,4,13-2071.00,Credit Counselors,Active_Learning
66,50,3,25-3041.00,Tutors,Active_Learning
63,70,5,15-1221.00,Computer and Information Research Scientists,Active_Learning
63,68,5,11-9121.00,Natural Sciences Managers,Active_Learning
63,61,4,17-2141.00,Mechanical Engineers,Active_Learning
63,59,5,25-4012.00,Curators,Active_Learning
63,59,4,15-1242.00,Database Administrators,Active_Learning
63,59,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",Active_Learning
63,59,4,29-1141.00,Registered Nurses,Active_Learning
63,57,5,19-2041.02,Environmental Restoration Planners,Active_Learning
63,57,4,11-3031.00,Financial Managers,Active_Learning
63,57,4,17-2121.00,Marine Engineers and Naval Architects,Active_Learning
63,57,4,13-1161.00,Market Research Analysts and Marketing Specialists,Active_Learning
63,55,4,15-2099.01,Bioinformatics Technicians,Active_Learning
63,55,4,19-4021.00,Biological Technicians,Active_Learning
63,55,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Active_Learning
63,55,4,13-1075.00,Labor Relations Specialists,Active_Learning
63,55,4,17-1012.00,Landscape Architects,Active_Learning
63,55,5,17-2199.06,Microsystems Engineers,Active_Learning
63,55,3,11-9179.02,Spa Managers,Active_Learning
63,54,4,11-9199.01,Regulatory Affairs Managers,Active_Learning
63,54,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Active_Learning
63,54,4,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Active_Learning
63,52,5,29-1071.01,Anesthesiologist Assistants,Active_Learning
63,52,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,Active_Learning
63,52,2,11-9071.00,Gambling Managers,Active_Learning
63,52,4,15-1252.00,Software Developers,Active_Learning
63,52,4,25-2056.00,"Special Education Teachers, Elementary School",Active_Learning
63,52,4,15-1255.01,Video Game Designers,Active_Learning
63,52,3,15-1254.00,Web Developers,Active_Learning
63,50,4,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Active_Learning
63,50,4,25-2023.00,"Career/Technical Education Teachers, Middle School",Active_Learning
63,50,4,13-1081.00,Logisticians,Active_Learning
63,48,3,33-3021.00,Detectives and Criminal Investigators,Active_Learning
63,48,3,33-2011.00,Firefighters,Active_Learning
63,48,3,13-1041.04,Government Property Inspectors and Investigators,Active_Learning
63,46,4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Active_Learning
63,46,3,11-3051.02,Geothermal Production Managers,Active_Learning
60,64,4,17-2141.02,Automotive Engineers,Active_Learning
60,61,4,29-2036.00,Medical Dosimetrists,Active_Learning
60,59,4,17-1022.01,Geodetic Surveyors,Active_Learning
60,57,4,11-9121.01,Clinical Research Coordinators,Active_Learning
60,57,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Active_Learning
60,57,4,19-2099.01,Remote Sensing Scientists and Technologists,Active_Learning
60,57,4,11-9199.10,Wind Energy Development Managers,Active_Learning
60,55,5,29-1011.00,Chiropractors,Active_Learning
60,55,4,11-3021.00,Computer and Information Systems Managers,Active_Learning
60,55,3,13-1041.06,Coroners,Active_Learning
60,55,3,19-4092.00,Forensic Science Technicians,Active_Learning
60,55,4,15-1299.09,Information Technology Project Managers,Active_Learning
60,55,4,19-5011.00,Occupational Health and Safety Specialists,Active_Learning
60,55,4,25-2058.00,"Special Education Teachers, Secondary School",Active_Learning
60,55,3,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Active_Learning
60,54,3,35-1011.00,Chefs and Head Cooks,Active_Learning
60,54,4,21-1021.00,"Child, Family, and School Social Workers",Active_Learning
60,54,4,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",Active_Learning
60,54,4,17-3026.01,Nanotechnology Engineering Technologists and Technicians,Active_Learning
60,54,3,19-4012.01,Precision Agriculture Technicians,Active_Learning
60,54,4,27-3031.00,Public Relations Specialists,Active_Learning
60,54,3,15-1241.01,Telecommunications Engineering Specialists,Active_Learning
60,52,4,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Active_Learning
60,52,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Active_Learning
60,52,4,11-2033.00,Fundraising Managers,Active_Learning
60,52,4,27-2012.05,Media Technical Directors/Managers,Active_Learning
60,52,4,29-2011.00,Medical and Clinical Laboratory Technologists,Active_Learning
60,52,5,29-9099.01,Midwives,Active_Learning
60,50,3,17-3011.00,Architectural and Civil Drafters,Active_Learning
60,50,4,11-9179.01,Fitness and Wellness Coordinators,Active_Learning
60,50,3,43-4131.00,Loan Interviewers and Clerks,Active_Learning
60,48,5,25-4011.00,Archivists,Active_Learning
60,48,4,27-2041.00,Music Directors and Composers,Active_Learning
60,48,3,33-9021.00,Private Detectives and Investigators,Active_Learning
60,46,3,19-4031.00,Chemical Technicians,Active_Learning
60,46,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses,Active_Learning
60,46,4,21-1092.00,Probation Officers and Correctional Treatment Specialists,Active_Learning
60,46,4,29-1125.00,Recreational Therapists,Active_Learning
60,46,4,27-3043.00,Writers and Authors,Active_Learning
60,45,3,33-3051.04,Customs and Border Protection Officers,Active_Learning
60,45,3,29-2032.00,Diagnostic Medical Sonographers,Active_Learning
60,45,4,13-1121.00,"Meeting, Convention, and Event Planners",Active_Learning
60,43,2,49-9095.00,Manufactured Building and Mobile Home Installers,Active_Learning
60,41,3,19-4051.00,Nuclear Technicians,Active_Learning
56,66,4,17-2051.00,Civil Engineers,Active_Learning
56,64,4,17-2131.00,Materials Engineers,Active_Learning
56,59,4,11-2011.00,Advertising and Promotions Managers,Active_Learning
56,59,5,19-3051.00,Urban and Regional Planners,Active_Learning
56,57,4,15-2011.00,Actuaries,Active_Learning
56,57,4,17-2051.02,Water/Wastewater Engineers,Active_Learning
56,55,4,17-2021.00,Agricultural Engineers,Active_Learning
56,55,4,27-1011.00,Art Directors,Active_Learning
56,55,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Active_Learning
56,55,4,15-1241.00,Computer Network Architects,Active_Learning
56,55,4,13-1051.00,Cost Estimators,Active_Learning
56,55,4,29-1128.00,Exercise Physiologists,Active_Learning
56,55,4,17-2112.00,Industrial Engineers,Active_Learning
56,55,4,15-1212.00,Information Security Analysts,Active_Learning
56,55,4,13-1111.00,Management Analysts,Active_Learning
56,55,5,21-1023.00,Mental Health and Substance Abuse Social Workers,Active_Learning
56,55,5,29-1299.02,Orthoptists,Active_Learning
56,55,4,13-1041.07,Regulatory Affairs Specialists,Active_Learning
56,55,4,17-2199.11,Solar Energy Systems Engineers,Active_Learning
56,55,4,17-2051.01,Transportation Engineers,Active_Learning
56,54,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Active_Learning
56,54,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",Active_Learning
56,54,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",Active_Learning
56,54,4,29-1129.02,Music Therapists,Active_Learning
56,54,4,11-3061.00,Purchasing Managers,Active_Learning
56,54,3,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Active_Learning
56,54,4,11-9121.02,Water Resource Specialists,Active_Learning
56,52,4,11-3051.03,Biofuels Production Managers,Active_Learning
56,52,3,13-1041.08,Customs Brokers,Active_Learning
56,52,4,15-1243.00,Database Architects,Active_Learning
56,52,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Active_Learning
56,52,4,15-1299.05,Information Security Engineers,Active_Learning
56,52,3,17-3013.00,Mechanical Drafters,Active_Learning
56,52,2,17-3029.01,Non-Destructive Testing Specialists,Active_Learning
56,52,2,43-3061.00,Procurement Clerks,Active_Learning
56,52,4,19-1031.02,Range Managers,Active_Learning
56,52,4,13-1199.07,Security Management Specialists,Active_Learning
56,52,4,27-3042.00,Technical Writers,Active_Learning
56,52,4,17-2112.02,Validation Engineers,Active_Learning
56,50,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Active_Learning
56,50,4,13-1131.00,Fundraisers,Active_Learning
56,50,3,29-2099.08,Patient Representatives,Active_Learning
56,50,4,27-2012.00,Producers and Directors,Active_Learning
56,48,2,45-2011.00,Agricultural Inspectors,Active_Learning
56,48,4,17-1021.00,Cartographers and Photogrammetrists,Active_Learning
56,48,4,15-1231.00,Computer Network Support Specialists,Active_Learning
56,48,4,19-1031.00,Conservation Scientists,Active_Learning
56,48,4,29-2011.01,Cytogenetic Technologists,Active_Learning
56,48,3,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Active_Learning
56,48,4,13-1071.00,Human Resources Specialists,Active_Learning
56,48,3,31-9092.00,Medical Assistants,Active_Learning
56,48,4,27-3023.00,"News Analysts, Reporters, and Journalists",Active_Learning
56,48,3,17-3029.08,Photonics Technicians,Active_Learning
56,48,4,17-1022.00,Surveyors,Active_Learning
56,48,4,13-1199.05,Sustainability Specialists,Active_Learning
56,46,3,53-2022.00,Airfield Operations Specialists,Active_Learning
56,46,3,27-2032.00,Choreographers,Active_Learning
56,46,4,15-1299.03,Document Management Specialists,Active_Learning
56,46,3,47-2111.00,Electricians,Active_Learning
56,46,4,27-4032.00,Film and Video Editors,Active_Learning
56,46,3,33-1011.00,First-Line Supervisors of Correctional Officers,Active_Learning
56,46,4,27-1024.00,Graphic Designers,Active_Learning
56,46,3,31-2011.00,Occupational Therapy Assistants,Active_Learning
56,46,4,19-1031.03,Park Naturalists,Active_Learning
56,46,4,13-2052.00,Personal Financial Advisors,Active_Learning
56,46,4,21-1093.00,Social and Human Service Assistants,Active_Learning
56,45,2,39-2011.00,Animal Trainers,Active_Learning
56,45,4,13-2031.00,Budget Analysts,Active_Learning
56,45,2,33-3012.00,Correctional Officers and Jailers,Active_Learning
56,45,3,17-3012.00,Electrical and Electronics Drafters,Active_Learning
56,45,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,Active_Learning
56,45,4,29-2011.04,Histotechnologists,Active_Learning
56,45,4,25-2012.00,"Kindergarten Teachers, Except Special Education",Active_Learning
56,45,3,31-2021.00,Physical Therapist Assistants,Active_Learning
56,45,2,11-9131.00,Postmasters and Mail Superintendents,Active_Learning
56,45,3,53-5031.00,Ship Engineers,Active_Learning
56,43,2,51-8091.00,Chemical Plant and System Operators,Active_Learning
56,43,3,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",Active_Learning
56,43,5,25-4022.00,Librarians and Media Collections Specialists,Active_Learning
56,43,2,31-1133.00,Psychiatric Aides,Active_Learning
56,43,2,33-9099.02,Retail Loss Prevention Specialists,Active_Learning
56,43,3,33-3052.00,Transit and Railroad Police,Active_Learning
53,57,4,17-2072.00,"Electronics Engineers, Except Computer",Active_Learning
53,57,4,17-2199.05,Mechatronics Engineers,Active_Learning
53,55,4,27-3041.00,Editors,Active_Learning
53,55,4,19-1032.00,Foresters,Active_Learning
53,55,5,29-1041.00,Optometrists,Active_Learning
53,54,2,11-9051.00,Food Service Managers,Active_Learning
53,54,4,13-1081.02,Logistics Analysts,Active_Learning
53,54,4,15-1244.00,Network and Computer Systems Administrators,Active_Learning
53,54,4,15-1299.01,Web Administrators,Active_Learning
53,52,3,17-3024.01,Robotics Technicians,Active_Learning
53,52,4,19-4061.00,Social Science Research Assistants,Active_Learning
53,50,4,13-2011.00,Accountants and Auditors,Active_Learning
53,50,4,17-2072.01,Radio Frequency Identification Device Specialists,Active_Learning
53,48,3,11-3012.00,Administrative Services Managers,Active_Learning
53,48,4,11-3051.04,Biomass Power Plant Managers,Active_Learning
53,48,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels",Active_Learning
53,48,3,29-2031.00,Cardiovascular Technologists and Technicians,Active_Learning
53,48,4,13-2053.00,Insurance Underwriters,Active_Learning
53,48,4,27-1014.00,Special Effects Artists and Animators,Active_Learning
53,46,3,49-3011.00,Aircraft Mechanics and Service Technicians,Active_Learning
53,46,3,53-6051.01,Aviation Inspectors,Active_Learning
53,46,4,15-1251.00,Computer Programmers,Active_Learning
53,46,3,15-1232.00,Computer User Support Specialists,Active_Learning
53,46,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Active_Learning
53,46,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,Active_Learning
53,46,3,43-4061.00,"Eligibility Interviewers, Government Programs",Active_Learning
53,46,2,31-9099.02,Endoscopy Technicians,Active_Learning
53,46,3,47-4011.01,Energy Auditors,Active_Learning
53,46,3,17-3027.00,Mechanical Engineering Technologists and Technicians,Active_Learning
53,46,3,29-2099.01,Neurodiagnostic Technologists,Active_Learning
53,46,5,29-1123.00,Physical Therapists,Active_Learning
53,46,3,41-9022.00,Real Estate Sales Agents,Active_Learning
53,46,4,21-1015.00,Rehabilitation Counselors,Active_Learning
53,46,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Active_Learning
53,45,3,19-4012.00,Agricultural Technicians,Active_Learning
53,45,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,Active_Learning
53,45,3,27-4012.00,Broadcast Technicians,Active_Learning
53,45,4,13-1021.00,"Buyers and Purchasing Agents, Farm Products",Active_Learning
53,45,3,47-4011.00,Construction and Building Inspectors,Active_Learning
53,45,3,31-9091.00,Dental Assistants,Active_Learning
53,45,3,29-2051.00,Dietetic Technicians,Active_Learning
53,45,4,19-4042.00,"Environmental Science and Protection Technicians, Including Health",Active_Learning
53,45,3,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Active_Learning
53,45,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",Active_Learning
53,45,3,11-3013.00,Facilities Managers,Active_Learning
53,45,3,33-2021.00,Fire Inspectors and Investigators,Active_Learning
