Importance,Level,Job Zone,Code,Occupation
63,55,2,41-9011.00,Demonstrators and Product Promoters
63,55,5,25-9021.00,Farm and Home Management Educators
63,55,4,13-1111.00,Management Analysts
63,55,5,29-1229.06,Sports Medicine Physicians
63,54,5,19-3033.00,Clinical and Counseling Psychologists
63,54,4,21-1094.00,Community Health Workers
63,54,5,29-1217.00,Neurologists
63,52,3,33-1011.00,First-Line Supervisors of Correctional Officers
63,52,2,11-9071.00,Gambling Managers
63,52,4,27-1025.00,Interior Designers
63,52,4,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
63,52,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
63,50,4,13-1121.00,"Meeting, Convention, and Event Planners"
63,50,5,19-3034.00,School Psychologists
63,43,3,39-1022.00,First-Line Supervisors of Personal Service Workers
60,57,5,29-1031.00,Dietitians and Nutritionists
60,55,4,11-2011.00,Advertising and Promotions Managers
60,55,5,19-3039.03,Clinical Neuropsychologists
60,54,4,27-1011.00,Art Directors
60,54,4,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
60,54,4,11-3031.00,Financial Managers
60,54,4,29-1125.00,Recreational Therapists
60,54,4,13-1199.07,Security Management Specialists
60,52,2,43-3011.00,Bill and Account Collectors
60,50,4,13-2071.00,Credit Counselors
60,50,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
60,50,3,11-3051.06,Hydroelectric Production Managers
60,50,4,13-2052.00,Personal Financial Advisors
60,50,4,11-3013.01,Security Managers
60,50,4,27-3043.00,Writers and Authors
60,48,4,33-3031.00,Fish and Game Wardens
60,48,4,21-1093.00,Social and Human Service Assistants
60,48,3,47-1011.03,Solar Energy Installation Managers
60,46,4,27-2012.05,Media Technical Directors/Managers
60,45,4,13-1199.06,Online Merchants
60,43,2,33-3012.00,Correctional Officers and Jailers
60,43,3,39-9041.00,Residential Advisors
56,57,4,13-1041.03,Equal Opportunity Representatives and Officers
56,55,5,29-1171.00,Nurse Practitioners
56,54,5,21-1022.00,Healthcare Social Workers
56,54,5,11-9121.00,Natural Sciences Managers
56,54,4,11-9151.00,Social and Community Service Managers
56,54,4,11-9199.10,Wind Energy Development Managers
56,52,5,29-1213.00,Dermatologists
56,52,2,41-1011.00,First-Line Supervisors of Retail Sales Workers
56,52,5,29-1229.02,Hospitalists
56,52,4,13-1081.00,Logisticians
56,52,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
56,52,4,13-1161.01,Search Marketing Strategists
56,50,4,27-2012.03,Media Programming Directors
56,50,5,19-3039.02,Neuropsychologists
56,50,5,29-1071.00,Physician Assistants
56,50,2,11-9131.00,Postmasters and Mail Superintendents
56,50,4,11-9141.00,"Property, Real Estate, and Community Association Managers"
56,50,4,11-3051.01,Quality Control Systems Managers
56,48,4,13-2099.04,"Fraud Examiners, Investigators and Analysts"
56,48,5,25-9031.00,Instructional Coordinators
56,48,5,29-1041.00,Optometrists
56,46,3,33-2021.00,Fire Inspectors and Investigators
56,46,2,33-1091.00,First-Line Supervisors of Security Workers
56,46,4,27-2041.00,Music Directors and Composers
56,46,4,29-1129.02,Music Therapists
56,46,5,29-1023.00,Orthodontists
56,46,5,29-1221.00,"Pediatricians, General"
56,45,4,13-1041.00,Compliance Officers
56,45,4,25-2012.00,"Kindergarten Teachers, Except Special Education"
56,43,3,29-2081.00,"Opticians, Dispensing"
56,43,2,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
53,55,4,11-9021.00,Construction Managers
53,54,5,11-9041.00,Architectural and Engineering Managers
53,54,4,21-2021.00,"Directors, Religious Activities and Education"
53,54,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
53,54,5,29-1299.01,Naturopathic Physicians
53,54,4,21-1092.00,Probation Officers and Correctional Treatment Specialists
53,54,4,21-1015.00,Rehabilitation Counselors
53,54,5,19-3051.00,Urban and Regional Planners
53,52,5,25-2059.01,Adapted Physical Education Specialists
53,52,5,19-2041.01,Climate Change Policy Analysts
53,52,4,27-1021.00,Commercial and Industrial Designers
53,52,4,29-1141.03,Critical Care Nurses
53,52,4,11-9072.00,"Entertainment and Recreation Managers, Except Gambling"
53,52,5,19-1041.00,Epidemiologists
53,52,5,29-1216.00,General Internal Medicine Physicians
53,52,4,11-3051.00,Industrial Production Managers
53,52,4,15-1299.09,Information Technology Project Managers
53,52,4,17-2112.03,Manufacturing Engineers
53,52,4,19-5011.00,Occupational Health and Safety Specialists
53,52,4,17-2051.01,Transportation Engineers
53,50,5,17-1011.00,"Architects, Except Landscape and Naval"
53,50,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
53,50,4,13-1199.04,Business Continuity Planners
53,50,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
53,50,4,11-3021.00,Computer and Information Systems Managers
53,50,4,17-2111.02,Fire-Prevention and Protection Engineers
53,50,3,11-9171.00,Funeral Home Managers
53,50,5,11-3031.03,Investment Fund Managers
53,50,4,17-1012.00,Landscape Architects
53,50,3,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
53,50,5,19-2012.00,Physicists
53,50,4,11-9121.02,Water Resource Specialists
53,48,4,11-3051.03,Biofuels Production Managers
53,48,3,11-3013.00,Facilities Managers
53,48,5,13-2099.01,Financial Quantitative Analysts
53,48,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
53,48,4,19-1012.00,Food Scientists and Technologists
53,48,4,19-1032.00,Foresters
53,48,4,13-1151.00,Training and Development Specialists
53,46,4,29-1141.01,Acute Care Nurses
53,46,5,29-1129.01,Art Therapists
53,46,4,17-2141.02,Automotive Engineers
53,46,2,43-5011.01,Freight Forwarders
53,46,4,21-1091.00,Health Education Specialists
53,46,3,29-2092.00,Hearing Aid Specialists
53,46,4,13-1161.00,Market Research Analysts and Marketing Specialists
53,46,4,27-3023.00,"News Analysts, Reporters, and Journalists"
53,46,2,53-1042.01,Recycling Coordinators
53,46,4,13-1199.05,Sustainability Specialists
53,46,4,27-2012.04,Talent Directors
53,46,4,19-1023.00,Zoologists and Wildlife Biologists
53,45,4,17-2011.00,Aerospace Engineers
53,45,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
53,45,4,19-1031.00,Conservation Scientists
53,45,3,33-3051.04,Customs and Border Protection Officers
53,45,5,19-1029.03,Geneticists
53,45,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
53,45,4,19-2032.00,Materials Scientists
53,45,5,29-1151.00,Nurse Anesthetists
53,45,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
53,45,3,19-5012.00,Occupational Health and Safety Technicians
53,45,5,25-1065.00,"Political Science Teachers, Postsecondary"
53,45,3,29-2053.00,Psychiatric Technicians
53,45,2,43-5031.00,Public Safety Telecommunicators
53,45,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
53,45,4,39-9032.00,Recreation Workers
53,45,4,25-2057.00,"Special Education Teachers, Middle School"
53,43,5,29-1181.00,Audiologists
53,43,2,35-3011.00,Bartenders
53,43,3,47-4011.00,Construction and Building Inspectors
53,43,3,33-3021.00,Detectives and Criminal Investigators
53,43,4,25-2021.00,"Elementary School Teachers, Except Special Education"
53,43,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
53,43,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
53,43,5,19-1029.02,Molecular and Cellular Biologists
53,43,4,17-2161.00,Nuclear Engineers
53,43,2,37-2021.00,Pest Control Workers
53,43,4,25-2056.00,"Special Education Teachers, Elementary School"
53,43,3,25-9043.00,"Teaching Assistants, Special Education"
53,41,2,31-1121.00,Home Health Aides
50,54,5,25-1112.00,"Law Teachers, Postsecondary"
50,54,4,13-1041.07,Regulatory Affairs Specialists
50,54,4,11-3031.01,Treasurers and Controllers
50,52,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
50,52,5,29-1229.01,Allergists and Immunologists
50,52,3,35-1011.00,Chefs and Head Cooks
50,52,5,25-4012.00,Curators
50,52,4,29-1128.00,Exercise Physiologists
50,52,5,29-1215.00,Family Medicine Physicians
50,52,5,15-1211.01,Health Informatics Specialists
50,52,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
50,50,4,13-1051.00,Cost Estimators
50,50,5,19-3011.00,Economists
50,50,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
50,50,4,11-9179.01,Fitness and Wellness Coordinators
50,50,3,13-1041.04,Government Property Inspectors and Investigators
50,50,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
50,50,4,27-2012.00,Producers and Directors
50,48,5,29-1211.00,Anesthesiologists
50,48,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
50,48,4,11-3111.00,Compensation and Benefits Managers
50,48,4,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
50,48,4,27-3041.00,Editors
50,48,3,11-3051.02,Geothermal Production Managers
50,48,5,17-2199.09,Nanosystems Engineers
50,48,4,17-2199.08,Robotics Engineers
50,48,3,33-3052.00,Transit and Railroad Police
50,48,4,19-3099.01,Transportation Planners
50,48,4,17-2199.10,Wind Energy Engineers
50,46,4,13-2011.00,Accountants and Auditors
50,46,5,29-9091.00,Athletic Trainers
50,46,4,11-3051.04,Biomass Power Plant Managers
50,46,5,29-1011.00,Chiropractors
50,46,4,17-2051.00,Civil Engineers
50,46,4,11-9121.01,Clinical Research Coordinators
50,46,4,15-1241.00,Computer Network Architects
50,46,3,47-2111.00,Electricians
50,46,5,19-3011.01,Environmental Economists
50,46,4,17-2081.00,Environmental Engineers
50,46,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
50,46,5,19-2043.00,Hydrologists
50,46,5,27-1027.00,Set and Exhibit Designers
50,46,5,29-1229.03,Urologists
50,45,3,11-3012.00,Administrative Services Managers
50,45,5,19-1011.00,Animal Scientists
50,45,5,19-2011.00,Astronomers
50,45,3,27-2032.00,Choreographers
50,45,5,19-2041.02,Environmental Restoration Planners
50,45,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
50,45,2,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
50,45,2,39-1013.00,First-Line Supervisors of Gambling Services Workers
50,45,3,51-1011.00,First-Line Supervisors of Production and Operating Workers
50,45,2,11-9051.00,Food Service Managers
50,45,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
50,45,5,25-1064.00,"Geography Teachers, Postsecondary"
50,45,4,27-1024.00,Graphic Designers
50,45,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
50,45,5,19-2041.03,Industrial Ecologists
50,45,4,33-3021.06,Intelligence Analysts
50,45,3,43-4111.00,"Interviewers, Except Eligibility and Loan"
50,45,3,43-4131.00,Loan Interviewers and Clerks
50,45,4,13-1081.01,Logistics Engineers
50,45,4,17-2131.00,Materials Engineers
50,45,5,29-1218.00,Obstetricians and Gynecologists
50,45,5,29-1122.00,Occupational Therapists
50,45,5,29-2091.00,Orthotists and Prosthetists
50,45,4,17-2171.00,Petroleum Engineers
50,45,3,31-2021.00,Physical Therapist Assistants
50,45,5,29-1123.00,Physical Therapists
50,45,5,29-1222.00,"Physicians, Pathologists"
50,45,5,25-2051.00,"Special Education Teachers, Preschool"
50,45,3,15-1241.01,Telecommunications Engineering Specialists
50,45,3,25-3041.00,Tutors
50,45,4,15-1255.01,Video Game Designers
50,45,4,17-2051.02,Water/Wastewater Engineers
50,43,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
50,43,5,25-1031.00,"Architecture Teachers, Postsecondary"
50,43,5,19-1021.00,Biochemists and Biophysicists
50,43,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
50,43,5,25-1052.00,"Chemistry Teachers, Postsecondary"
50,43,5,25-1122.00,"Communications Teachers, Postsecondary"
50,43,5,25-1021.00,"Computer Science Teachers, Postsecondary"
50,43,2,39-6012.00,Concierges
50,43,2,43-4051.00,Customer Service Representatives
50,43,3,29-1292.00,Dental Hygienists
50,43,3,29-2032.00,Diagnostic Medical Sonographers
50,43,3,47-4011.01,Energy Auditors
50,43,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
50,43,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
50,43,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
50,43,3,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
50,43,5,29-9092.00,Genetic Counselors
50,43,5,25-1125.00,"History Teachers, Postsecondary"
50,43,2,49-9095.00,Manufactured Building and Mobile Home Installers
50,43,3,17-3027.00,Mechanical Engineering Technologists and Technicians
50,43,5,29-9099.01,Midwives
50,43,2,43-4151.00,Order Clerks
50,43,5,25-1054.00,"Physics Teachers, Postsecondary"
50,43,3,25-2011.00,"Preschool Teachers, Except Special Education"
50,43,2,31-1133.00,Psychiatric Aides
50,43,2,53-4031.00,Railroad Conductors and Yardmasters
50,43,4,19-1031.02,Range Managers
50,43,4,11-9199.01,Regulatory Affairs Managers
50,43,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
50,43,4,17-2199.11,Solar Energy Systems Engineers
50,43,4,25-2058.00,"Special Education Teachers, Secondary School"
50,43,5,19-3022.00,Survey Researchers
50,43,3,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
50,43,2,33-9093.00,Transportation Security Screeners
50,41,2,53-2031.00,Flight Attendants
50,41,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
50,41,3,43-4141.00,New Accounts Clerks
50,39,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
50,39,2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
50,39,2,53-6061.00,Passenger Attendants
50,39,2,47-4091.00,Segmental Pavers
50,36,2,27-2021.00,Athletes and Sports Competitors
47,52,4,15-2011.00,Actuaries
47,50,5,19-1029.01,Bioinformatics Scientists
47,48,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
47,48,4,17-2072.01,Radio Frequency Identification Device Specialists
47,46,3,17-3026.00,Industrial Engineering Technologists and Technicians
47,46,4,15-1299.05,Information Security Engineers
47,45,4,13-2022.00,Appraisers of Personal and Business Property
47,45,4,13-2061.00,Financial Examiners
47,45,2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
47,45,2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
47,45,3,19-4071.00,Forest and Conservation Technicians
47,45,4,29-2036.00,Medical Dosimetrists
47,45,5,15-2031.00,Operations Research Analysts
47,45,5,29-1051.00,Pharmacists
47,45,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
47,45,5,29-1081.00,Podiatrists
47,45,5,19-1013.00,Soil and Plant Scientists
47,45,3,15-1254.00,Web Developers
47,43,4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
47,43,2,33-9011.00,Animal Control Workers
47,43,5,19-3091.00,Anthropologists and Archeologists
47,43,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
47,43,3,53-6051.01,Aviation Inspectors
47,43,4,15-2051.01,Business Intelligence Analysts
47,43,4,25-2023.00,"Career/Technical Education Teachers, Middle School"
47,43,4,17-2041.00,Chemical Engineers
47,43,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
47,43,3,53-2012.00,Commercial Pilots
47,43,3,15-1299.08,Computer Systems Engineers/Architects
47,43,5,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
47,43,3,13-1041.08,Customs Brokers
47,43,4,15-1243.00,Database Architects
47,43,3,29-2051.00,Dietetic Technicians
47,43,2,53-3031.00,Driver/Sales Workers
47,43,4,17-2071.00,Electrical Engineers
47,43,4,17-2072.00,"Electronics Engineers, Except Computer"
47,43,4,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
47,43,5,25-1053.00,"Environmental Science Teachers, Postsecondary"
47,43,5,17-2112.01,Human Factors Engineers and Ergonomists
47,43,4,13-1071.00,Human Resources Specialists
47,43,4,13-2072.00,Loan Officers
47,43,3,29-2035.00,Magnetic Resonance Imaging Technologists
47,43,4,17-2199.05,Mechatronics Engineers
47,43,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
47,43,3,27-1026.00,Merchandise Displayers and Window Trimmers
47,43,5,17-2199.06,Microsystems Engineers
47,43,3,31-2011.00,Occupational Therapy Assistants
47,43,5,29-1299.02,Orthoptists
47,43,3,27-4021.00,Photographers
47,43,5,19-3094.00,Political Scientists
47,43,3,33-9021.00,Private Detectives and Investigators
47,43,5,29-1024.00,Prosthodontists
47,43,2,33-9032.00,Security Guards
47,43,5,25-1113.00,"Social Work Teachers, Postsecondary"
47,43,5,19-3041.00,Sociologists
47,43,3,27-4014.00,Sound Engineering Technicians
47,43,4,27-1014.00,Special Effects Artists and Animators
47,43,5,29-1127.00,Speech-Language Pathologists
47,43,5,29-1131.00,Veterinarians
47,41,4,17-2021.00,Agricultural Engineers
47,41,2,45-2011.00,Agricultural Inspectors
47,41,3,53-2021.00,Air Traffic Controllers
47,41,2,39-2011.00,Animal Trainers
47,41,4,19-2021.00,Atmospheric and Space Scientists
47,41,3,33-3011.00,Bailiffs
47,41,5,25-1042.00,"Biological Science Teachers, Postsecondary"
47,41,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
47,41,5,25-1011.00,"Business Teachers, Postsecondary"
47,41,3,27-4031.00,"Camera Operators, Television, Video, and Film"
47,41,2,43-5011.00,Cargo and Freight Agents
47,41,2,39-9011.00,Childcare Workers
47,41,2,41-2021.00,Counter and Rental Clerks
47,41,4,15-1299.03,Document Management Specialists
47,41,5,25-1081.00,"Education Teachers, Postsecondary"
47,41,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
47,41,3,43-4061.00,"Eligibility Interviewers, Government Programs"
47,41,5,25-1032.00,"Engineering Teachers, Postsecondary"
47,41,4,17-3025.00,Environmental Engineering Technologists and Technicians
47,41,3,43-6011.00,Executive Secretaries and Executive Administrative Assistants
47,41,3,39-9031.00,Exercise Trainers and Group Fitness Instructors
47,41,3,33-2011.00,Firefighters
47,41,2,27-1023.00,Floral Designers
47,41,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
47,41,2,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
47,41,3,13-1032.00,"Insurance Appraisers, Auto Damage"
47,41,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses
47,41,4,13-1081.02,Logistics Analysts
47,41,3,51-8011.00,Nuclear Power Reactor Operators
47,41,3,19-4051.00,Nuclear Technicians
47,41,3,31-2012.00,Occupational Therapy Aides
47,41,4,19-1031.03,Park Naturalists
47,41,5,29-1224.00,Radiologists
47,41,4,29-1141.00,Registered Nurses
47,41,3,29-1126.00,Respiratory Therapists
47,41,2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
47,41,4,25-3031.00,"Substitute Teachers, Short-Term"
47,41,3,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
47,41,4,27-3042.00,Technical Writers
47,41,3,53-6041.00,Traffic Technicians
47,41,4,17-2112.02,Validation Engineers
47,41,3,29-2056.00,Veterinary Technologists and Technicians
47,39,3,49-2091.00,Avionics Technicians
47,39,3,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
47,39,3,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
47,39,3,47-4041.00,Hazardous Materials Removal Workers
47,39,3,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
47,39,4,13-2053.00,Insurance Underwriters
47,39,3,39-5091.00,"Makeup Artists, Theatrical and Performance"
47,39,2,49-9011.00,Mechanical Door Repairers
47,39,3,19-4051.02,Nuclear Monitoring Technicians
47,39,2,51-9151.00,Photographic Process Workers and Processing Machine Operators
47,37,2,49-3091.00,Bicycle Repairers
47,37,3,49-9092.00,Commercial Divers
47,37,2,49-9044.00,Millwrights
47,37,3,17-3031.00,Surveying and Mapping Technicians
47,36,2,51-8099.01,Biofuels Processing Technicians
47,36,2,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
47,34,4,27-3091.00,Interpreters and Translators
47,34,3,51-9082.00,Medical Appliance Technicians
47,34,3,51-5111.00,Prepress Technicians and Workers
47,34,2,43-3061.00,Procurement Clerks
47,32,2,43-3041.00,Gambling Cage Workers
47,32,2,31-2022.00,Physical Therapist Aides
47,32,2,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
44,50,5,15-1221.00,Computer and Information Research Scientists
44,46,5,23-1012.00,Judicial Law Clerks
44,46,5,29-1022.00,Oral and Maxillofacial Surgeons
44,45,4,17-2031.00,Bioengineers and Biomedical Engineers
44,45,4,15-1243.01,Data Warehousing Specialists
44,45,4,17-2141.00,Mechanical Engineers
44,45,4,27-3043.05,"Poets, Lyricists and Creative Writers"
44,45,4,15-1252.00,Software Developers
44,43,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
44,43,5,19-1029.04,Biologists
44,43,3,15-1211.00,Computer Systems Analysts
44,43,3,27-1012.00,Craft Artists
44,43,4,27-4032.00,Film and Video Editors
44,43,4,17-2121.00,Marine Engineers and Naval Architects
44,43,4,15-1244.00,Network and Computer Systems Administrators
44,43,3,33-3021.02,Police Identification and Records Officers
44,43,3,19-4012.01,Precision Agriculture Technicians
44,41,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
44,41,3,49-3011.00,Aircraft Mechanics and Service Technicians
44,41,3,53-2022.00,Airfield Operations Specialists
44,41,4,13-2023.00,Appraisers and Assessors of Real Estate
44,41,4,15-2099.01,Bioinformatics Technicians
44,41,5,15-2041.01,Biostatisticians
44,41,2,51-3021.00,Butchers and Meat Cutters
44,41,3,35-2013.00,"Cooks, Private Household"
44,41,2,43-4021.00,Correspondence Clerks
44,41,2,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
44,41,4,13-1041.01,Environmental Compliance Inspectors
44,41,5,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
44,41,4,17-2141.01,Fuel Cell Engineers
44,41,5,19-3093.00,Historians
44,41,5,15-2021.00,Mathematicians
44,41,4,29-2011.00,Medical and Clinical Laboratory Technologists
44,41,3,31-9092.00,Medical Assistants
44,41,5,29-1161.00,Nurse Midwives
44,41,3,23-2011.00,Paralegals and Legal Assistants
44,41,2,33-9099.02,Retail Loss Prevention Specialists
44,41,5,25-1067.00,"Sociology Teachers, Postsecondary"
44,41,3,47-2152.04,Solar Thermal Installers and Technicians
44,39,2,53-1041.00,Aircraft Cargo Handling Supervisors
44,39,3,17-3011.00,Architectural and Civil Drafters
44,39,5,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
44,39,3,19-4092.00,Forensic Science Technicians
44,39,2,43-9041.00,Insurance Claims and Policy Processing Clerks
44,39,5,25-1082.00,"Library Science Teachers, Postsecondary"
44,39,2,45-4023.00,Log Graders and Scalers
44,39,3,29-2033.00,Nuclear Medicine Technologists
44,39,3,29-2099.05,Ophthalmic Medical Technologists
44,39,2,47-4099.03,Weatherization Installers and Technicians
44,37,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
44,37,2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
44,37,4,15-2051.02,Clinical Data Managers
44,37,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
44,37,2,53-5011.00,Sailors and Marine Oilers
44,37,2,47-5013.00,"Service Unit Operators, Oil and Gas"
44,37,4,43-9111.00,Statistical Assistants
44,37,3,29-9093.00,Surgical Assistants
44,37,2,27-2023.00,"Umpires, Referees, and Other Sports Officials"
44,36,1,35-3023.01,Baristas
44,36,3,39-5094.00,Skincare Specialists
44,34,2,39-3092.00,Costume Attendants
44,34,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
44,34,4,27-2042.00,Musicians and Singers
44,34,2,43-3071.00,Tellers
44,34,2,35-3031.00,Waiters and Waitresses
44,32,3,29-2031.00,Cardiovascular Technologists and Technicians
44,32,2,53-7041.00,Hoist and Winch Operators
44,30,2,49-9031.00,Home Appliance Repairers
44,30,2,33-3041.00,Parking Enforcement Workers
